"Language","original","english","czech","german","russian","polish","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_CookZ_Instructions","You can cook using a pot, cauldron or pan. This book describes how you can combine ingredients to create nutritious dishes. If you do not follow the instructions correctly then the ingredients are cooked individually. Some dishes need packaging material like empty cans or boxes attached to the cooking equipment. Some dishes need water or a specific cooking equipment.","You can cook using a pot, cauldron or pan. This book describes how you can combine ingredients to create nutritious dishes. If you do not follow the instructions correctly then the ingredients are cooked individually. Some dishes need packaging material like empty cans or boxes attached to the cooking equipment. Some dishes need water or a specific cooking equipment.","You can cook using a pot, cauldron or pan. This book describes how you can combine ingredients to create nutritious dishes. If you do not follow the instructions correctly then the ingredients are cooked individually. Some dishes need packaging material like empty cans or boxes attached to the cooking equipment. Some dishes need water or a specific cooking equipment.","Gerichte können in einem Kochtopf, Kessel oder Bratpfanne zubereitet werden. Dieses Buch beschreibt, wie Du Zutaten kombinieren kannst, um nahrhafte Gerichte zuzubereiten. Wenn du die Anweisungen nicht richtig befolgst, werden die Zutaten einzeln gekocht. Einige Gerichte benötigen Verpackungsmaterial wie leere Dosen oder Schachteln, die am Kochgeschirr befestigt werden. Manche Gerichte brauchen Wasser oder ein bestimmtes Kochgerät.","You can cook using a pot, cauldron or pan. This book describes how you can combine ingredients to create nutritious dishes. If you do not follow the instructions correctly then the ingredients are cooked individually. Some dishes need packaging material like empty cans or boxes attached to the cooking equipment. Some dishes need water or a specific cooking equipment.","You can cook using a pot, cauldron or pan. This book describes how you can combine ingredients to create nutritious dishes. If you do not follow the instructions correctly then the ingredients are cooked individually. Some dishes need packaging material like empty cans or boxes attached to the cooking equipment. Some dishes need water or a specific cooking equipment.","You can cook using a pot, cauldron or pan. This book describes how you can combine ingredients to create nutritious dishes. If you do not follow the instructions correctly then the ingredients are cooked individually. Some dishes need packaging material like empty cans or boxes attached to the cooking equipment. Some dishes need water or a specific cooking equipment.","You can cook using a pot, cauldron or pan. This book describes how you can combine ingredients to create nutritious dishes. If you do not follow the instructions correctly then the ingredients are cooked individually. Some dishes need packaging material like empty cans or boxes attached to the cooking equipment. Some dishes need water or a specific cooking equipment.","You can cook using a pot, cauldron or pan. This book describes how you can combine ingredients to create nutritious dishes. If you do not follow the instructions correctly then the ingredients are cooked individually. Some dishes need packaging material like empty cans or boxes attached to the cooking equipment. Some dishes need water or a specific cooking equipment.","You can cook using a pot, cauldron or pan. This book describes how you can combine ingredients to create nutritious dishes. If you do not follow the instructions correctly then the ingredients are cooked individually. Some dishes need packaging material like empty cans or boxes attached to the cooking equipment. Some dishes need water or a specific cooking equipment.","You can cook using a pot, cauldron or pan. This book describes how you can combine ingredients to create nutritious dishes. If you do not follow the instructions correctly then the ingredients are cooked individually. Some dishes need packaging material like empty cans or boxes attached to the cooking equipment. Some dishes need water or a specific cooking equipment.","You can cook using a pot, cauldron or pan. This book describes how you can combine ingredients to create nutritious dishes. If you do not follow the instructions correctly then the ingredients are cooked individually. Some dishes need packaging material like empty cans or boxes attached to the cooking equipment. Some dishes need water or a specific cooking equipment.","You can cook using a pot, cauldron or pan. This book describes how you can combine ingredients to create nutritious dishes. If you do not follow the instructions correctly then the ingredients are cooked individually. Some dishes need packaging material like empty cans or boxes attached to the cooking equipment. Some dishes need water or a specific cooking equipment.",
"STR_CookZ_EmptyCanInstructions","You can craft ten <b>empty cans</b> from a <b>metal sheet</b> using a <b>hacksaw</b>.","You can craft ten <b>empty cans</b> from a <b>metal sheet</b> using a <b>hacksaw</b>.","You can craft ten <b>empty cans</b> from a <b>metal sheet</b> using a <b>hacksaw</b>.","Du kannst zehn <b>Leere Dosen</b> aus einem <b>Metallblech</b> mit einer <b>Metallsäge</b> herstellen.","You can craft ten <b>empty cans</b> from a <b>metal sheet</b> using a <b>hacksaw</b>.","You can craft ten <b>empty cans</b> from a <b>metal sheet</b> using a <b>hacksaw</b>.","You can craft ten <b>empty cans</b> from a <b>metal sheet</b> using a <b>hacksaw</b>.","You can craft ten <b>empty cans</b> from a <b>metal sheet</b> using a <b>hacksaw</b>.","You can craft ten <b>empty cans</b> from a <b>metal sheet</b> using a <b>hacksaw</b>.","You can craft ten <b>empty cans</b> from a <b>metal sheet</b> using a <b>hacksaw</b>.","You can craft ten <b>empty cans</b> from a <b>metal sheet</b> using a <b>hacksaw</b>.","You can craft ten <b>empty cans</b> from a <b>metal sheet</b> using a <b>hacksaw</b>.","You can craft ten <b>empty cans</b> from a <b>metal sheet</b> using a <b>hacksaw</b>.",
"STR_CookZ_EmptyBoxInstructions","An <b>empty box</b> can be crafted from two pieces of <b>paper</b> or by using any <b>axe</b> or <b>knife</b> on <b>bark</b>.","An <b>empty box</b> can be crafted from two pieces of <b>paper</b> or by using any <b>axe</b> or <b>knife</b> on <b>bark</b>.","An <b>empty box</b> can be crafted from two pieces of <b>paper</b> or by using any <b>axe</b> or <b>knife</b> on <b>bark</b>.","Eine <b>Leere Schachtel</b> kann aus zwei Stück <b>Papier</b> hergestellt werden oder aus <b>Baumrinde</b>, die mit einer <b>Axt</b> oder einem <b>Messer</b> bearbeitet wird.","An <b>empty box</b> can be crafted from two pieces of <b>paper</b> or by using any <b>axe</b> or <b>knife</b> on <b>bark</b>.","An <b>empty box</b> can be crafted from two pieces of <b>paper</b> or by using any <b>axe</b> or <b>knife</b> on <b>bark</b>.","An <b>empty box</b> can be crafted from two pieces of <b>paper</b> or by using any <b>axe</b> or <b>knife</b> on <b>bark</b>.","An <b>empty box</b> can be crafted from two pieces of <b>paper</b> or by using any <b>axe</b> or <b>knife</b> on <b>bark</b>.","An <b>empty box</b> can be crafted from two pieces of <b>paper</b> or by using any <b>axe</b> or <b>knife</b> on <b>bark</b>.","An <b>empty box</b> can be crafted from two pieces of <b>paper</b> or by using any <b>axe</b> or <b>knife</b> on <b>bark</b>.","An <b>empty box</b> can be crafted from two pieces of <b>paper</b> or by using any <b>axe</b> or <b>knife</b> on <b>bark</b>.","An <b>empty box</b> can be crafted from two pieces of <b>paper</b> or by using any <b>axe</b> or <b>knife</b> on <b>bark</b>.","An <b>empty box</b> can be crafted from two pieces of <b>paper</b> or by using any <b>axe</b> or <b>knife</b> on <b>bark</b>.",
"STR_CookZ_Ingredient_AnyMeat","Any Meat","Any Meat","Any Meat","Beliebiges Fleisch","Any Meat","Any Meat","Any Meat","Any Meat","Any Meat","Any Meat","Any Meat","Any Meat","Any Meat",
"STR_CookZ_Ingredient_AnyFish","Any Fish","Any Fish","Any Fish","Beliebiger Fisch","Any Fish","Any Fish","Any Fish","Any Fish","Any Fish","Any Fish","Any Fish","Any Fish","Any Fish",
"STR_CookZ_Ingredient_AnyFishFillet","Any Fish Fillet","Any Fish Fillet","Any Fish Fillet","Beliebiges Fischfilet","Any Fish Fillet","Any Fish Fillet","Any Fish Fillet","Any Fish Fillet","Any Fish Fillet","Any Fish Fillet","Any Fish Fillet","Any Fish Fillet","Any Fish Fillet",
"STR_CookZ_Ingredient_AnyMushroom","Any Mushroom","Any Mushroom","Any Mushroom","Beliebiger Pilz","Any Mushroom","Any Mushroom","Any Mushroom","Any Mushroom","Any Mushroom","Any Mushroom","Any Mushroom","Any Mushroom","Any Mushroom",
"STR_CookZ_Ingredient_AnyFruit","Any Fruit","Any Fruit","Any Fruit","Beliebiges Obst","Any Fruit","Any Fruit","Any Fruit","Any Fruit","Any Fruit","Any Fruit","Any Fruit","Any Fruit","Any Fruit",
"STR_CookZ_Ingredient_AnySausage","Any Sausage","Any Sausage","Any Sausage","Beliebige Wurst","Any Sausage","Any Sausage","Any Sausage","Any Sausage","Any Sausage","Any Sausage","Any Sausage","Any Sausage","Any Sausage",
"STR_CookZ_Ingredient_AnyBreadcrumb","Crackers or Salty Sticks","Crackers or Salty Sticks","Crackers or Salty Sticks","Cracker oder Salzstangen","Crackers or Salty Sticks","Crackers or Salty Sticks","Crackers or Salty Sticks","Crackers or Salty Sticks","Crackers or Salty Sticks","Crackers or Salty Sticks","Crackers or Salty Sticks","Crackers or Salty Sticks","Crackers or Salty Sticks",
"STR_CookZ_Ingredient_AnyDisinfect","Rags or Bandages","Rags or Bandages","Rags or Bandages","Stofffetzen oder Verband","Rags or Bandages","Rags or Bandages","Rags or Bandages","Rags or Bandages","Rags or Bandages","Rags or Bandages","Rags or Bandages","Rags or Bandages","Rags or Bandages",
"STR_CookZ_UseA","Use a","Use a","Use a","Benutze","Use a","Use a","Use a","Use a","Use a","Use a","Use a","Use a","Use a",
"STR_CookZ_WithWater","with at least 500 ml of water","with at least 500 ml of water","with at least 500 ml of water","mit mindestens 500 ml Wasser","with at least 500 ml of water","with at least 500 ml of water","with at least 500 ml of water","with at least 500 ml of water","with at least 500 ml of water","with at least 500 ml of water","with at least 500 ml of water","with at least 500 ml of water","with at least 500 ml of water",
"STR_CookZ_UseEmptyCan","Fill into an empty can.","Fill into an empty can.","Fill into an empty can.","In eine leere Dose füllen.","Fill into an empty can.","Fill into an empty can.","Fill into an empty can.","Fill into an empty can.","Fill into an empty can.","Fill into an empty can.","Fill into an empty can.","Fill into an empty can.","Fill into an empty can.",
"STR_CookZ_UseEmptyBox","Fill into an empty box.","Fill into an empty box.","Fill into an empty box.","In eine leere Schachtel füllen.","Fill into an empty box.","Fill into an empty box.","Fill into an empty box.","Fill into an empty box.","Fill into an empty box.","Fill into an empty box.","Fill into an empty box.","Fill into an empty box.","Fill into an empty box.",
"STR_CookZ_AtLeastOne","at least one","at least one","at least one","mindestens ein","at least one","at least one","at least one","at least one","at least one","at least one","at least one","at least one","at least one",
"STR_CookZ_Or","or","or","or","oder","or","or","or","or","or","or","or","or","or",
